"","x"
"134","Delli aspinal"
"135","Dente"
"136","Deretti"
"137","Di lorzo"
"138","Di pigli"
"139","Di rossi"
"140","Diedo"
"141","Diesello (diesolo)"
"142","Diesenove"
"143","Dolfinigo"
"144","Don zorzi"
"145","Donadi"
"146","Dondiorologio"
"147","Donini v."
"148","Donisdio"
"149","Dono"
"150","Doro"
"151","Dotto (dotho)"
"152","Dozane"
"153","Drusco"
"154","Duodo"
"155","Enegro"
"156","Erizzo"
"157","Fabrizi"
"158","Faraon"
"159","Farsetti"
"160","Favero inizio"
"161","Ferramosca"
"162","Ferro"
"163","Fexasonda"
"164","Fini"
"165","Fiollo"
"166","Flangini"
"167","Fondanizi"
"168","Fonseca"
"169","Fonte"
"170","Fornase (dalla)"
"171","Foscari"
"172","Fracassetti"
"173","Fradello (di candia)"
"174","Franceschi"
"175","Franco"
"176","Franzapani"
"177","Gabriel (cabriel)"
"178","Galaenzi"
"179","Galaresi"
"180","Gallina"
"181","Gallo"
"182","Gambara"
"183","Gambarin"
"184","Garzoni"
"185","Gezo prima del"
"186","Ghedini"
"187","Gheltof"
"188","Gherardini"
"189","Giovanelli"
"190","Girardo"
"191","Giupponi"
"192","Gozzi"
"193","Gradelon"
"194","Grasoni"
"195","Grassi"
"196","Grisoni"
"197","Guatardo"
"198","Guberto 1297"
"199","Guerra"
"200","Gugino"
"201","Guoro"
"202","Haoldo"
"203","Iacolo"
"204","Iallina"
"205","Labia"
"206","Laghi"
"207","Lambertini"
"208","Lanzuoli"
"209","Lazzari"
"210","Leucari"
"211","Lezze (da)"
"212","Lini"
"213","Lion cavazza"
"214","Lippomano"
"215","Lisiado"
"216","Lolin"
"217","Lombreschi"
"218","Lombria"
"219","Lucca"
"220","Lugma (lugnano)"
"221","Lupanadi"
"222","Maccarelli"
"223","Madeo"
"224","Maffetti"
"225","Maganesi dopo"
"226","Maggio"
"227","Magno"
"228","Maina"
"229","Maistrorso"
"230","Malatesta"
"231","Manfrotto"
"232","Manin"
"233","Manzoni"
"234","Maranzin"
"235","Marcipagni"
"236","Marconi"
"237","Marmora"
"238","Marono"
"239","Martine"
"240","Martinelli"
"241","Martinengo"
"242","Massoli"
"243","Mastalizi"
"244","Matono"
"245","Mazaruol"
"246","Medici"
"247","Melli"
"248","Memmo"
"249","Menegato"
"250","Mengolo"
"251","Mettadori"
"252","Mezzo (de)"
"253","Miegano 13"
"254","Minelli"
"255","Minotto"
"256","Mora (s. felice)"
"257","Mora (s. marcuola)"
"258","Morelli"
"259","Mortadello"
"260","Mussatti"
"261","Nave"
"262","Negro"
"263","Nosadini"
"264","Obizo"
"265","Ogniben"
"266","Onoradi"
"267","Ottoboni"
"268","Ottolin"
"269","Pallavicino"
"270","Panciera"
"271","Papaciza"
"272","Papafava"
"273","Paradiso"
"274","Paruta"
"275","Pasta"
"276","Patani"
"277","Pecin (pencin)"
"278","Pelizzioli"
"279","Pentolo"
"280","Pepoli"
"281","Persico"
"282","Pesaro"
"283","Pianega"
"284","Piero"
"285","Pindemonte"
"286","Pino"
"287","Piovene"
"288","Pisani"
"289","Pizzamano"
"290","Polani"
"291","Polo"
"292","Polvaro"
"293","Ponte (da)"
"294","Premuda v."
"295","Priuli"
"296","Protti"
"297","Quintavalle"
"298","Rampani"
"299","Ranaso"
"300","Raspi"
"301","Rava"
"302","Ravagnin"
"303","Rebolin ?"
"304","Recanati"
"305","Redetti"
"306","Regin"
"307","Renier"
"308","Rezzonico"
"309","Riario"
"310","Riva (da)"
"311","Rizzi"
"312","Romieri"
"313","Rossi"
"314","Rota"
"315","Rovere"
"316","Rovini"
"317","Rubini"
"318","Ruzzini"
"319","Sabadin"
"320","Salamon"
"321","Sallonesi"
"322","Sandi"
"323","Sangiantoffetti"
"324","Santasoffia"
"325","Savello"
"326","Savia"
"327","Savorgnan"
"328","Schogolo (secogolo)"
"329","Schondoler"
"330","Sclavo"
"331","Scroffa"
"332","Selvo"
"333","Semenzi (premuda)"
"334","Sesendillo"
"335","Sisolla"
"336","Soderini"
"337","Spatafora"
"338","Spazacanal"
"339","Spineda"
"340","Spinelli"
"341","Stanier"
"342","Statio"
"343","Steno"
"344","Stornello"
"345","Strobardo"
"346","Surian"
"347","Tasca"
"348","Terzi"
"349","Thomado"
"350","Tinto"
"351","Toderini"
"352","Totulo"
"353","Trasmondi"
"354","Travaionti"
"355","Trento"
"356","Trunzane"
"357","Valier"
"358","Valmarana"
"359","Valpetro"
"360","Vanaxel"
"361","Vaneri"
"362","Varda da dio"
"363","Vendelin"
"364","Vendramin"
"365","Ventolo"
"366","Verdizzotti"
"367","Veri"
"368","Vermo (dal)"
"369","Vetigrassi"
"370","Vezzi"
"371","Viani"
"372","Vianol"
"373","Vidor"
"374","Vielmo"
"375","Vizzamano"
"376","Volpe"
"377","Widman"
"378","Zaccaria"
"379","Zacco"
"380","Zaguri"
"381","Zambelli (s. giac. dell'orio)"
"382","Zambelli (s. stin)"
"383","Zanardi"
"384","Zanasi"
"385","Zancani"
"386","Zancaruol"
"387","Zapoani"
"388","Zara (da)"
"389","Zenobio"
"390","Zino"
"391","Zolio"
"392","Zon"
"393","Zorbani"
"394","Zucconi v."
